pPos,695.9053,1.05,1216.483
pStats,100,67.64561,96.14148,98.9866
Weapons
i,Water Bottle
i,Canned Food
i,Water Bottle
i,Water Bottle
w,M9,0,3
Loot
l,Canned Food,657.1079,3.314981,1239.61
l,Water Bottle,-12.53788,2003.516,2004.752
l,FAMAS,40,656.4946,3.20471,1239.267
l,Canned Food,657.2664,3.435407,1239.625
l,Cheese,1147.304,0.6120813,1423.74
l,Water Bottle,1072.078,0.6204945,1311.307
l,Cheese,567.3943,0.4940324,1620.152
l,Water Bottle,699.2406,1.240413,1261.167
l,Cheese,640.5659,1.362345,1630.363
l,Cheese,731.0905,0.509528,1218.156
l,Water Bottle,967.1234,0.6153483,1507.586
l,Water Bottle,647.7272,0.5302603,1232.084
l,Cheese,551.5729,0.4708289,1596.266
l,Cheese,699.5416,0.4575748,1259.181
l,Cheese,680.7085,0.5374332,1210.9
l,Water Bottle,619.4008,1.41005,1595.724
l,Cheese,619.1172,0.4614266,1597.084
l,Cheese,649.6076,0.5275924,1601.815
l,Cheese,570.8729,0.5275924,1603.398
l,Water Bottle,650.699,1.388422,1268.678
l,Water Bottle,465.5411,0.5919611,1531.126
l,Water Bottle,537.9623,0.5276505,1603.566
l,Cheese,743.4375,1.304725,1209.285
l,Cheese,635.3879,0.5027623,1595.506
l,Cheese,581.1726,0.5486123,1629.277
l,Canned Food,550.7385,0.5275924,1620.532
l,Canned Food,551.0535,0.5258943,1628.538
l,Water Bottle,603.635,0.5494135,1594.648
l,Cheese,589.8313,0.5193996,1595.518
l,Cheese,725.4267,0.5275921,1247.777
l,Canned Food,546.9292,0.5796466,1631.995
l,Cheese,603.4908,0.504824,1595.981
l,Cheese,465.4497,0.5479391,1531.024
l,Water Bottle,603.3467,0.5506966,1595.987
l,Cheese,640.396,0.5486111,1630.358
l,Water Bottle,617.914,0.5467167,1620.416
l,Cheese,551.0258,0.5272538,1628.244
l,Canned Food,680.595,0.4892131,1210.454
l,Canned Food,581.0339,0.5064002,1619.656
l,Cheese,567.7156,1.372096,1629.498
l,Cheese,680.8318,0.4576991,1210.808
l,Water Bottle,647.6351,0.5441124,1232.131
l,Water Bottle,538.4642,0.5494135,1594.251
l,Cheese,581.0113,0.4908627,1619.965
l,Cheese,589.6057,0.4886253,1603.748
l,Cheese,567.538,0.5123528,1619.878
l,Water Bottle,601.1226,0.5275924,1620.615
l,Water Bottle,642.138,0.5977025,1630.248
l,Water Bottle,619.0504,0.5275924,1605.065
l,Cheese,551.3674,0.5099338,1603.975
l,Water Bottle,673.118,0.4697494,1244.721
l,Cheese,619.259,0.4940577,1597.231
l,Canned Food,700.1088,0.4872944,1251.355
l,Cheese,721.4521,1.073665,1225.768
l,Canned Food,618.9094,0.5275924,1605.061
l,Water Bottle,531.7615,0.5796466,1510.193
l,Cheese,619.2585,0.5654594,1597.086
l,Cheese,648.6981,0.4739916,1594.164
l,Canned Food,567.7155,0.571767,1627.999
l,Canned Food,519.6251,0.4966851,1627.917
l,Water Bottle,550.9809,1.388422,1629.875
l,Canned Food,636.4982,0.5275924,1603.561
l,Cheese,589.8327,0.4861797,1595.757
l,Canned Food,1097.749,0.6007326,1126.375
l,Water Bottle,571.0739,0.5275919,1595.664
l,Water Bottle,648.6896,0.5931234,1594.063
l,Water Bottle,1103.019,0.6007321,1120.357
l,Water Bottle,472.5042,1.408662,1524.593
l,Cheese,968.8331,0.5808839,1499.499
l,Canned Food,725.1432,0.5468045,1212.556
l,Water Bottle,636.3381,0.5275924,1603.433
l,Cheese,635.2336,1.388703,1593.984
l,Water Bottle,601.2405,1.388422,1630.391
l,Cheese,525.7448,0.5939991,1515.423
l,Canned Food,699.6276,0.5726809,1259.22
l,Cheese,589.8279,0.5721627,1595.66
l,Water Bottle,726.9033,1.388422,1247.753
l,Cheese,619.3521,1.370711,1595.564
l,Water Bottle,651.671,0.5273786,1258.542
l,Water Bottle,678.7678,1.100551,1252.991
l,Water Bottle,725.4534,0.5950465,1212.485
l,Cheese,649.8481,0.558392,1630.238
l,Water Bottle,537.6757,1.408054,1632.666
